,ID,Date,District,Sector Heading,Sector Text
7635,7634,10-23-1991,New York,Other Business Activity,in september district unemployment rates continued their seesaw pattern of the last several months the seasonally adjusted unemployment rate fell 07 percentage point in new york and 05 percentage point in new jersey after rising 04 percentage point in both states during august new yorks rate is now 68 percent and new jerseys 62 percent nonfarm employment remains below year earlier levels and in recent weeks american express union carbide and alliedsignal announced plans to lay off several thousand employees at least some of whom will be in the second district meanwhile economic development officials from new york state and city new jersey and connecticut signed an agreement to work together towards keeping firms in the region and attracting new onesthe september survey of buffalo purchasing managers showed a doubling of firms with increased new orders to 42 percent as well as a substantial drop in those with a decreased orders the august survey of purchasing managers in rochester showed a rise in the percentage of firms anticipating a deterioration of business conditions over the next three months though by far the majority continue to expect the same or improved conditions
7636,7635,10-23-1991,New York,Financial Developments,most midsized banks in the second district reported that their willingness to lend remains unchanged from three months ago these officers also reported a decrease in the overall demand for loans especially for consumer loans demand appears somewhat stronger for real estate loans where roughly equal numbers reported increased and lessened demand of the senior officers reporting a change in loan delinquencies from three months ago most reported a rise in the delinquency rate for total loans and for consumer loans in particularnearly all surveyed banks are now charging lower loan rates than they were three months ago three fourths reported unchanged credit standards with the remaining quarter having tightened somewhat tightening measures included lower loantovalue ratios more stringent collateral requirements and more comprehensive analyses of applicants credit histories
7695,7694,12-4-1991,New York,Summary of Economic Activity,reports on district developments remained mixed october sales results at department stores were fairly evenly divided between those with sales above and below yearago levels district unemployment rates rose in october reversing september declines the october purchasing managers surveys indicated that business conditions stabilized in rochester while deteriorating somewhat in buffalo although residential construction continues sluggish there has been some increased demand for existing homes and office space in several areas senior loan officers at small and midsized banks said their willingness to lend was unchanged from three months earlier
7696,7695,12-4-1991,New York,Consumer Sector,october sales results at district department stores were divided fairly evenly between those with higher and lower sales compared to a year earlier overtheyear changes ranged from 25 percent to 46 percent and for the most part fell short of plans responses varied concerning best selling items with some citing womens and mens apparel and others noting a pickup in hone furnishings contacts stated that they have not had any extra promotional activity compared with last year but that this could change if competitive pressures increase during the holiday seasoninventories are reported to be in good shape and intentionally below yearearlier levels in some cases district retailers do not anticipate large yeartoyear gains for the rest of the fourth quarter in light of the sluggish economy and surveys showing continued reluctance to spend on the part of consumers
7697,7696,12-4-1991,New York,Residential Construction and Real Estate,while residential construction remains sluggish in the district some increase in demand for existing homes has been noted in the new york metropolitan area for example homeownership is reportedly the most affordable it has been in years as a result of reductions in existing home prices and lower mortgage rates firsttime homebuyers in particular are said to be taking advantage of the improved situation in the buffalo area the volume of resales increased 95 percent in october from a year earlier despite a recent rise in the median price of such houses more generally a recent study found that resales in both new york and new jersey have been increasing this year after declining steadily from 19981990office leasing activity improved in parts of the district but vacancy rates moved in varying directions vacancy rates moved up in midtown manhattan and westchester county largely as a result of corporate relocations and restructuring while northern new jerseys rate increased due to the completion of several new office buildings by contrast fairfield county connecticut recently experienced a decline of almost a percentage point in its vacancy rate as a result of strong leasing activity and rates in downtown manhattan and on long island showed virtually no change overall office vacancy rates remain at high levels in much of the district
7698,7697,12-4-1991,New York,Other Business Activity,district unemployment rates rose in october after declining in september new yorks rate increased to 72 percent from 68 percent in september while new jerseys rate rose to 68 percent from 62 percent the districts employment outlook is dimmed by several recent developments new york and connecticut are now confronting sizable current fiscal year budget gaps only months after struggling to bring those budgets into balance new york city is attempting to close a large budget gap as well these shortfalls could mean the elimination of many additional government jobs in preparation for their planned merger chemical bank and manufacturers hanover have reportedly eliminated close to 1000 positions since last summer and are expected to eliminate several thousand more over time in addition a recently announced restructuring at warnerlambert will result in the loss of 340 jobs at its new jersey headquarters in upstate new york crucible materials plans to close a major part of its steel plant eliminating 250 jobs in early 1992 and niagara mohawk power will cut 400 jobs from its nuclear operations on a positive note a consortium of lufthansa jal and air france has proposed the first new terminal in 30 years to be built at kennedy international airportthe rochester and buffalo surveys of purchasing managers showed differing results in october general business conditions stabilized in rochester where surveyed firms reported business conditions similar to those in september the 32 percent of firms reporting an improvement was double the number reporting a worsening in buffalo however some deterioration occurred as the percentages with lower production and fewer new orders more than doubled nonetheless by far the majority of firms in both areas reported stable to improved conditions
7699,7698,12-4-1991,New York,Financial Developments,most senior loan officers surveyed at small and midsized banks in the second district reported that their willingness to lend remains unchanged from three months ago however while they are actively and aggressively seeking high quality loans demand remains weak those respondents noting an actual decrease in overall loan demand are using advertising campaigns as part of a marketing approach for new loansnearly all loan officers are now charging lower loan rates than they were three months ago reflecting decreases in the prime rate with the decline in interest rates has come an increase in mortgage refinancing credit standards at all banks surveyed have not changed over the past three months although delinquency rates in general have increased over recent months delinquencies on commercial and industrial loans and on nonresidential mortgages have remained stable slightly less than half of surveyed officers reported a rise in consumer loan delinquencies
7761,7760,1-22-1992,New York,Summary of Economic Activity,developments in the second district economy since the last report were generally on the soft side during november retail contacts were split between those with sales above and below plan while december results were generally below target residential construction activity remains low and office leasing activity slowed district unemployment rates rose in december for the third consecutive month following a seesaw pattern during most of the year most senior loan officers at small and midsized banks reported no change in their willingness to lend
7762,7761,1-22-1992,New York,Consumer Sector,district retail contacts had mixed results during november splitting almost evenly between those with sales above and those with sales below plan while december results were more uniformly below target several retailers expressed pleasure that sales proved better than the dire media forecasts the sales environment was very competitive and marked by considerable pricecutting which began very early in the holiday season despite relatively lean inventories retailers were heavily promotional in an attempt to overcome anticipated consumer caution overtheyear sales changes at department stores ranged from 4 percent to 5 percent in november and from flat to 2 percent in december an annual survey conducted by the retail council of new york state covering some 200 stores across the state found sales volume during the christmas season to be generally unchanged from a year earlieritems which sold relatively well included staples such as mens and womens sweaters gloves and outerwear as well as dresses cosmetics and certain toys sales of big ticket items varied among respondents due in large part to a substantial pickup in sales during the two weeks surrounding christmas inventories were reported at or somewhat below targeted levels
7763,7762,1-22-1992,New York,Residential Construction and Real Estate,residential construction activity remains slow in the district due to both the season and generally sluggish demand the high inventory of homes available in the resale market and consumer uncertainty about the economic outlook continue to be cited as major factors reportedly much of the homebuying which is currently taking place is by firsttime buyers and others in need of affordable lower priced units two yetto beconstructed communities in new jersey and new york were recent sellouts because of their relatively low prices and attractive financing among other housing construction scheduled are an 18 million building in the bronx to house homeless adults and in all five boroughs of new york city new housing for working and middleclass families under a recent 76 million federal grantoffice leasing activity slowed somewhat since the last report midtown manhattan witnessed its second largest transaction or the year but a sizable amount of vacant space was marketed and the primary vacancy rate rose in downtown manhattan where no new construction is underway and several wellknown buildings are undergoing extensive capital improvement the vacancy rate declined for the second consecutive month
7764,7763,1-22-1992,New York,Other Business Activity,district unemployment rates rose in december for the third consecutive month following a seesaw pattern during most of the year new yorks rate edged up to 81 percent from 80 percent in november while new jerseys rate increased to 74 percent from 71 percent since the last report plans for some sizable cutbacks have been announced which are likely to have a downward impact on local employment nynex the local telephone company in new york state and new england will reduce its workforce over the next two years by almost 10000 and xerox which has several locations in the district will eliminate 2500 whitecollar positions by the middle of this year moreover in the semiannual survey of the manufacturers association of central new york nearly 25 percent of respondents in january said they plan to cut employment over the next three months up from 15 percent last julyon a more positive note ford and gm recently announced plans to invest a total of 350 million in their western new york plants over the next two years most of the money will be used for new machinery and retooling in addition a dallasbased firm plans to move a manufacturing operation from the south to new york statethe december survey of buffalo purchasing managers showed a doubling of the percentage of firms with fewer new orders and a substantial increase in the percentage with lower production while some of this slowdown apparently is a seasonal pattern the extent of it is somewhat greater than in december 1990 the november survey of purchasing managers in rochester however showed a decline in the percentage anticipating a deterioration of business conditions over the next quarter
7765,7764,1-22-1992,New York,Financial Developments,most senior loan officers surveyed at small and midsized banks in the second district reported that their willingness to lend remains unchanged from three months ago credit standards at most banks surveyed remain the same though a few banks reported stricter standards for consumer loans most respondents stated that overall loan demand was stable with some variation across categories nearly all loan officers reported charging lower rates than three months ago reflecting decreases in the prime rate these lower rates have brought about increased demand for mortgage refinancings even though the demand for new residential mortgages and construction loans remains weak those respondents noting a decrease in overall loan demand are using advertising campaigns and aggressive ratecutting policies as a way of attracting new loans the majority of banks surveyed report an increase in delinquency rates on all types of loans forcing some to restructure existing loans
7829,7828,3-18-1992,New York,Summary of Economic Activity,reports on district developments in recent weeks were mixed as has generally been the case for some time department store sales in the district were stronger than expected in january and february with most stores reporting no inventory problems at the same time homebuilders in the district reported a significant increase in customer interest with actual sales improving though still light by contrast labor market developments continued to be unfavorable in the district with state unemployment rates rising and with a continued heavy schedule of planned corporate layoffs loan officers at small and midsized banks report only few changes in their willingness to lend as compared with their practices two months ago
7830,7829,3-18-1992,New York,Consumer Spending,most contacts at district department stores reported strongerthan expected sales in both january and february and positive overthe year changes however while generally pleased with the results retailers cited the persian gulf war as a deterrent last year and exceptional promotional activities this year as major factors in the recent improvement yeartoyear gains ranged from 5 to 10 percent in january and 5 to 7 percent in february the major exception was a chain with a sizable overtheyear decline in januarymost categories of merchandise registered yeartoyear gains in the first two months of the year with the strongest results in womens and mens apparel cosmetics and accessories in addition for the first time in many months all respondents noted some improvement in furniture sales with the relatively strong sales performances most retailers reported inventories in good shape and on plan or a little belowthe retail scene in the district has undergone some churning in recent weeks with one major group emerging from two years in chapter 11 bankruptcy and several other chains filing for protection under that chapter while some chains are having difficulty a large jewelry and houseware chain announced plans to build a 194 million shopping center on long island and several national and foreign retailers are entering the new york city market now that rents are lower and desirable space is availableresidential construction and real estate homebuilders in several parts of the district report a decided pickup in buyer interest as evidenced by increased traffic and phone inquiries however the volume of sales has been light although improved as consumers remain hesitant due to economic uncertainties and the possibility of future tax incentives for homebuyers in general builders now expect this year to show some modest improvement over 1991 credit conditions reportedly are still tight particularly for acquisition and development loans though money for construction loans has become more availableoffice leasing activity increased somewhat in recent weeks but with the continued release of excess space resulting from corporate restructuring and relocation vacancy rates in much of the district have been rising moreover some areas have also had new office construction coming on line adding further upward pressure on vacancy rates the latest data show office vacancy rates of 20 percent or more in northern new jersey fairfield county connecticut long island and buffalo while rates in westchester county manhattan and syracuse remain below the national average of about 19 percent most of them have been rising as well
7831,7830,3-18-1992,New York,Other Business Activity,district unemployment rates rose in february to their highest levels since the early 1980s new yorks rate climbed to 89 percentthe second highest among eleven large statesfrom 84 percent in january while new jerseys jumped to 76 percent from 68 percent in january the districts employment outlook was dimmed further by general motors announced plan to close its westchester county plant with almost 3500 jobs by mid1995 more immediately thousands of layoffs are scheduled to take place this year and next at several large banks att and nynex the regional telephone company in addition ibm will be cutting back substantially through early retirement and attrition on the positive side gm will invest 65 million in updating and technological improvement at two buffalo area plants and continental airlines plans to add up to 1000 jobs in northern new jerseythe february survey of buffalo purchasing managers showed somewhat higher percentages of firms reporting reduced new orders and production following substantial improvements in these categories in january there was also a sharp increase in the percentage reporting higher input prices in february the january survey of rochester purchasing managers however showed a decrease in the percentage anticipating a deterioration of business conditions over the next three months
7832,7831,3-18-1992,New York,Financial Developments,most senior loan officers surveyed at small and midsized banks in the second district indicated no change in their willingness to lend as compared with two months ago although a few respondents did report tightening their credit standards consumer loan demand remained weak demand for residential mortgages continued to rise sharply due to the surge in mortgage refinancings resulting from the drop in interest rates two months ago almost all surveyed loan officers indicated that they do not expect changes in their lending practices or deposit rates when lower reserve requirements become effective april 2 a majority of respondents reported no change or a decrease in loan delinquency rates during january or february contrary to the usual pattern of increased delinquencies after the holidays
7897,7896,5-6-1992,New York,Summary of Economic Activity,reports on recent developments in the district remain basically mixed but with a more positive tone about the outlook than in recent months district homebuilders noted increased buyer interest and office leasing activity continued at a moderate pace district unemployment rates fell in march march sales results varied widely at district department stores while the surveys of purchasing managers in buffalo and rochester moved in divergent directions most loan officers at small and midsized banks indicated no change in their willingness to lend from two months earlier
7898,7897,5-6-1992,New York,Consumer Spending,sales results at district department stores varied widely during march from sizable overtheyear declines to sizable overtheyear gains yeartoyear changes ranged from 13 percent to 13 percent and from somewhat below to substantially above plan however most contacts stressed the difficulty of evaluating their results because of the different easter dates this year and last in addition several chains hold major spring promotional events which shift from year to year between march and aprilfor the first time in many months several respondents cited furniture and various kinds of home furnishings as the bestselling items in march mens and womens apparel sales were mixed inventories at the end of march were generally on or slightly below plangroundbreaking is scheduled for the first week in may at a long delayed shopping mall on long island and plans were announced for construction of a threelevel glassenclosed mall in the bronx close to the huge coop city apartment complex two major department store chains have agreed to be the anchors at the bronx mall
7899,7898,5-6-1992,New York,Residential Construction and Real Estate,district homebuilders report increased buyer interest during recent weeks which they attributed to lower mortgage rates and two years worth of pentup demand attendance at spring home shows has been greater than in 1991 and in many areas sales of new and existing homes are relatively strong as a result builders are more optimistic about the housing market than they have been in quite awhile and definitely expect sales in 1992 to be stronger than last years a regional builders association is projecting an increase in new york state housing starts this year of about 12 percent from their recordlow 1991 leveloffice leasing activity continued at a moderate pace in recent weeks as firms took advantage of lower rents and other concessions in newer buildings to upgrade their quarters nevertheless office vacancy rates rose during the first quarter in several areas including northern new jersey westchester county and fairfield county connecticut corporate restructuring moves out of the region and in new jersey a sizable amount of new construction were major factors putting upward pressure on vacancy rates despite these trends vacancy rates on long island and in downtown manhattan showed some improvement
7900,7899,5-6-1992,New York,Other Business Activity,district unemployment rates fell in march reversing their february increases new yorks rate dropped to 80 percent from 89 percent in february while new jerseys declined to 71 percent from 76 percent in february against marchs improved unemployment rates the regional bureau of labor statistics commissioner recently stated that between april 1989 and february 1992 job losses in new york state totaled 500000 the states most severe contraction on record in recent months however job losses in both new york and new jersey have slowedthe march surveys of purchasing managers in buffalo and rochester were mixed an increased percentage of rochester firms reported better business conditions whereas in buffalo fewer firms reported an improvement in new orders and production in both areas however as has persistently been the case the majority of firms reported stable to improved conditions the percentage of firms noting higher input prices declined in both areasa recent favorable development was new york citys announcement that it will end this fiscal year with a surplus rather than the previously projected deficit due in part to record profits on wall street revenues were higher than expected also reflecting the improvement on wall street investment banks have reportedly hired twice the number of mbas as in 1991 new york citys economy is also getting a boost from the largest number of broadway shows in recent memory several of which are sellouts
7901,7900,5-6-1992,New York,Financial Developments,most senior loan officers surveyed at small and midsized banks in the second district indicated that they are as willing to lend as they were two months ago although a few respondents did report tightening their credit standards and none reported easing the number of banks reporting an increased willingness to make consumer loans grew slightly to one quarter of those surveyed while the percentage expressing increased willingness to make real estate or business loans declined relative to the last surveyloan demand was reported to be generally stable or somewhat increased demand for residential mortgages remained steady though refinancing activity slowed consumer loan demand showed signs of improvement during the period despite a weakness in the demand for automobile loans in addition several respondents indicated an increase in the demand for business loans relative to two months ago loan rates largely remained unchanged although some surveyed loan officers did indicate lowering their rates recently in response to a downward trend evident in the market a majority of respondents also reported no change or a decrease in loan delinquency rates during the period which they attributed to their increased internal controls as well as improvements in the economic environment
7961,7960,6-17-1992,New York,Summary of Economic Activity,reports on recent developments in the second district continue to be basically mixed but marginally more negative in tone than in recent months on the plus side office leasing activity in manhattan continued at a moderate pace and a survey of district manufacturing firms showed business conditions have improved significantly since last november in contrast however district homebuilders noted a recent slackening of activity and department store contacts reported some slowing in sales growth labor market developments were also unfavorable with state unemployment rates rising in may and with layoffs of over 7000 retail employees expected by summers end senior loan officers surveyed at small and midsized district banks indicated no change in their willingness to lend from two months earlier
7962,7961,6-17-1992,New York,Residential Construction and Real Estate,homebuilders in upstate new york and northern new jersey generally report a recent slackening of activity after the rise in sales earlier this year although sales remain above last years levels a builders association projects new single family homes in western new york will total between 2300 and 2400 units this year above last years level of 2100 but well below the more than 2800 homes built in both 1988 and 1989manhattan office leasing activity has continued to rise but growing inventories of available space have led to increases in overall vacancy rates in the market for sublet space in midtown manhattan however declines in asking rental rates have so increased leasing activity that the inventory of available space has finally begun to decline
7963,7962,6-17-1992,New York,Consumer Spending,second district department stores reported that sales growth was slightly stronger in april than in may although the range of year toyear sales growth was quite similar for both months  flat to 15 percent in april as compared to 3 percent to 15 percent in may  more stores were clustered near the bottom of the range during the most recent period easter boosted sales of childrens clothing in april while unusually cool weather slowed apparel sales the following month all contacts reported inventories on planfifteen new york metropolitan area department stores are scheduled to close by summers end resulting in the loss of 7200 jobs several of the stores are the last remaining retail anchors in older downtown areas the fordham road section of the bronx and downtown newark and new rochelle are expected to be particularly hard hit on a more positive note a major new jersey shopping mall has announced plans for expansion and renovation including three new luxury department stores to replace two anchors which had previously closed
7964,7963,6-17-1992,New York,Business Activity,a may survey of 15 second district manufacturing firms suggests that local business conditions are now significantly more positive than they were when the same firms were surveyed last november ten of the firms anticipate sales will increase over the next six months with seven of the ten having recently become more optimistic only three firms are anticipating layoffs as compared to six firms in november the most recent purchasing managers reports from buffalo for may and rochester for april suggest that general business conditions have been basically stable over the latest month reportedlabor market developments in the second district have generally been unfavorable the unemployment rate in new jersey rose sharply from 78 percent in april to 90 percent in may new jersey now has the highest unemployment rate of any major industrial state new york state experienced a much smaller increase from 76 to 79 percent in addition to the expected loss of 7200 district retail jobs bethlehem steel and mony announced the elimination of 350 and 267 positions respectively in contrast prestolite electric will consolidate its national operations in upstate new york creating 320 local jobs over the next three yearsstandard and poors has placed new jersey on negative creditwatch in response to the states burgeoning fy1993 budget gap a combination of factors  including a one percentage point reduction in the sales tax rate the loss of anticipated federal medicaid reimbursements and lower than expected receipts  have led to a prospective budget shortfall in excess of 1 billion for the fiscal year beginning july 1
7965,7964,6-17-1992,New York,Financial Developments,nearly all senior loan officers surveyed at small and midsized banks in the second district indicated that they are as willing to lend as they were two months ago borrowers who had weathered the recession were perceived by some officers as having improved their credit worthiness most respondents reported either maintaining or lowering loan rates loan demand was reported to be generally stable or somewhat stronger part of the strength in demand was attributed to the increase in new customers whose former banks had either failed or merged demand for consumer loans and nonresidential mortgages remained steadya majority of respondents reported no change in delinquency rates for all types of loans during the past two months most officers did not indicate a marked increase in problem real estate loans they did however express a preference for restructuring rather than foreclosing existing troubled loans
8026,8025,8-5-1992,New York,Summary of Economic Activity,reports on district developments continued mixed in recent weeks department store sales results varied widely in june though most contacts reported betterthanexpected gains office leasing activity showed some further improvement and several areas experienced a decline in vacancy rates conditions in the residential construction market have been somewhat mixed however and unemployment rates rose in june to their highest levels since the early 1980s most loan officers surveyed at small and midsized banks noted no change in their willingness to lend but lackluster demand
8027,8026,8-5-1992,New York,Consumer Spending,sales results at district department stores varied widely in june though most contacts reported betterthanexpected gains the targeted levels were quite modest in some cases however and one chain had results that were below both plan and substantially below its yearearlier level when compared with june 1991 changes ranged from 11 percent to l7 percent with most stores reporting gains between 4 and 9 percentdespite unusually cool weather demand for mens and womens clothing was strong and one chain experienced its best fathers day week in four years furniture and other household items also sold well as a result of the generally positive sales results inventories at most department stores were on or somewhat below plan with regard to the outlook respondents were still fairly cautious though they were hopeful that visitors to new yorks columbus quincentennial celebration and the democratic convention would provide a significant stimulus to july salesresidential construction and real estate conditions in the residential construction market have been somewhat mixed in recent weeks homebuilders in two western and central new york areas reported a good response to this years spring home shows with considerably better sales than a year earlier and some pickup in new orders as well sales were also off to a good start at a new jersey site where 81 homes will soon rise in other areas however activity was reportedly slow as consumers remained reluctant in response to continued layoffs and economic uncertaintyoffice leasing activity showed some further improvement as firms continued to avail themselves of lower rents and other concessions in order to upgrade their quarters several observers noted that as commercial space is becoming more competitive with outside areas some firms are canceling plans to relocate and opting to remain in the district instead as a result of these developments several areas including long island northern new jersey westchester county and midmanhattan have experienced a recent decline in office vacancy rates although these rates remain at high levels a major exception was downtown manhattan where firms moving to newer buildings marketed older space and the vacancy rate rose
8028,8027,8-5-1992,New York,Other Business Activity,district unemployment rates rose in june to their highest levels since the early 1980s and at 92 percent in both new york and new jersey are now the second highest among 11 large states new yorks rate jumped from 79 percent in may while new jerseys was up from 90 percent in may while these seasonally adjusted state unemployment rates often show monthly volatility their current high level and the continuing decline in nonfarm employment suggest to some analysts that the recession in the district has not yet run its course moreover the outlook is dimmed by recent announcements of additional employment cutbacks ahead in upstate new york for example smith corona will be moving to mexico within the next year eliminating almost 700 jobs and a footwear producer will be moving to arkansas by the end of august eliminating another 145 jobs on a more positive note a pharmaceutical company employing 650 which had planned to relocate has instead decided to remain in the district and two manufacturing companies have just signed contracts with federal government agencies and could expand employment in addition the construction industry will receive a boost from a new 235 million mixeduse tower for which land is being cleared in manhattans lincoln center area much of the building which will cover an entire square block and have 38 floors of apartments together with 8 floors of office and retail space has already been sold or preleased reports from purchasing managers in june showed some improvement in general business conditions in rochester and stability in buffalo
8029,8028,8-5-1992,New York,Financial Developments,nearly all loan officers surveyed at small and midsized banks in the second district indicated that their willingness to lend remained steady relative to two months ago but the demand for loans was lackluster both consumer and residential mortgage demand were mediocre the few respondents mentioning an increase in the demand for residential mortgages attributed it primarily to refinancing activity however the demand for business loans was reported as steady to somewhat highermost respondents reported no change in delinquency rates during the past two months virtually all officers reported lowering their deposit rates but noted there was no outflow of deposits rather deposits generally shifted from maturing certificates of deposit into more liquid savings accounts as customers avoided being locked into low longterm rates
8092,8091,9-23-1992,New York,Summary of Economic Activity,the latest developments in the district remained basically mixed but marginally more positive than in other recent months most department store contacts said sales were better than expected in july and on or betterthan plan in august office leasing activity continued at a moderate pace and the vacancy rate in midtown manhattan declined though the downtown rate edged higher while still at high levels district unemployment rates fell in august after increasing in july and reports from purchasing managers in buffalo showed substantial improvement in both production and new orders conditions in the residential construction market remained mixed most senior loan officers surveyed at small and midsized banks noted no change in their willingness to lend but said that demand continued lackluster
8093,8092,9-23-1992,New York,Consumer Spending,most stores said sales were better than expected in july and on or betterthan plan in august yeartoyear changes ranged widelyfrom 2 to 14 in july and from 6 to 135 in august while sales gains were reported to be somewhat smaller in august than in july this was due at least in part to this years late labor day shifting much of the backtoschool buying into septemberdemand for womens and mens apparel was strong in both july and august and new fall styles and fabrics were said to have sold particularly well several contacts stated that the unusually cool summer may have been conducive to trying on and buying for the fall and winter since outerwear items also sold briskly respondents were generally satisfied with their inventory levels which for the most part are on plan or slightly below contacts are cautiously optimistic about some modest sales improvement in upcoming months
8094,8093,9-23-1992,New York,Residential Construction and Real Estate,conditions in the residential construction market continued mixed in recent weeks with homebuilders in upstate new york reporting stronger buyer interest than those downstate and in new jersey most builders anticipate some improvement this year relative to last years dismal performance but nothing approaching a housing boom an encouraging note for the future is that several projects which had long been stalled for various reasons are now being revived in westchester county for example the initial foundations have recently been poured at a 153unit townhouse project which was mothballed some five years ago while in somerset county work has begun on a 125unit townhouse complex initially proposed 12 years earlier in monmouth county new developers have already obtained some contracts for a 113unit singlefamily project at a site reclaimed by the lending bank from the original developeroffice leasing activity continued at a moderate pace since the last report and the vacancy rate on commercial buildings in midtown manhattan declined downtown however the rate on primary buildings edged higher as downsizing at financial institutions continued with the citys vacancy rates remaining at high levels plans to construct four new office towers as part of the redevelopment of the times square area have recently been put on indefinite hold instead the area is to be revitalized and renovated with major tourist attractions and retail establishments
8095,8094,9-23-1992,New York,Other Business Activity,although still at high levels district unemployment rates declined in august after increasing in july new yorks rate fell to 85 in august from 94 in july and new jerseys declined to 94 from 98 despite the august drop in district unemployment rates nonfarm employment has continued to decline though the pace of decline appears to be slackening somewhat with regard to the outlook recent announcements have been for employment changes up and down that are rather modest in size fedders will be closing two new jersey plants affecting about 150 workers and spaulding composite will be idling about 300 when it closes its plant in the buffalo area by yearend on the other hand an electronics firm near syracuse will add about 100 workers as it expands into two new product lines and a corning inc plant that makes converters for removing auto exhaust pollution may be expanding to converters for emissions from diesel engines and factory smokestacks as well august reports from purchasing managers in buffalo showed substantial improvement in both production and new orders
8096,8095,9-23-1992,New York,Financial Developments,most senior loan officers surveyed at small and midsized banks in the district indicated that their willingness to lend remained steady relative to two months ago a majority of respondents reported that while overall loan demand remained soft demand for residential mortgages increased consumer loan demand continued to be weak attributed in part to a decrease in demand for automobile loans one reason cited for this decline was the surveyed banks inability to compete with the lower rates of automobile financing companiesall respondents reported either maintaining or lowering loan rates a majority of officers indicated that delinquency rates on mortgages and commercial and industrial loans have not changed during the past two months although deposits continue to shift from maturing certificates of deposit into more liquid savings accounts the trend was not as prevalent among surveyed banks as two months ago
8162,8161,11-4-1992,New York,Summary of Economic Activity,developments in the second district since the last report remained basically mixed most contacts at district department stores reported strongerthanplanned sales in september and positive over theyear changes moreover office leasing activity showed some improvement as firms continue to avail themselves of lower rents and other concessions in order to upgrade their quarters the residential construction market was mixed however with homebuilders in upstate new york reporting somewhat stronger buying interest than those in downstate communities new yorks unemployment rate rose in september while new jerseys fell following august declines in both states the latest buffalo and rochester purchasing managers reports were less favorable than earlier most senior loan officers at small and midsized banks indicated no change in their willingness to lend
8163,8162,11-4-1992,New York,Consumer Spending,most contacts at district department stores reported strongerthan planned sales in september and positive overtheyear changes however while generally pleased with the results some retailers cited the later backtoschool shopping this year and extra promotional activity as major factors in septembers strength no one thought a turnaround in consumer sentiment had occurred and most said they were cautiously optimistic about what lies aheadyeartoyear sales increases in september generally ranged from 4 to 16 percent one chain reported a smallerthanexpected overtheyear decrease categories registering the greatest improvement were sports apparel outerwear and bed and bath items inventories are reportedly in good shapeeither on plan or a little below
8164,8163,11-4-1992,New York,Residential Construction and Real Estate,the residential construction market remained mixed in recent weeks with homebuilders in upstate new york reporting somewhat stronger buying interest than those in downstate communities in some new jersey areas plans are being revived and revised for projects that have been in default and in new york city several moderateincome housing developments have recently been started or soon will be underway developers report continuing problems in obtaining acquisition and construction loans however and observers note that most new homebuilding involves substantial amounts of internal financing or government subsidiesoffice leasing activity showed some improvement as firms continue to avail themselves of lower rents and other concessions in order to upgrade their quarters in addition most areas report little or no new office space under construction at this time as a result of these developments several areas including long island fairfield and westchester counties and midmanhattan have experienced a recent decline in office vacancy rates although they remain at high levels
8165,8164,11-4-1992,New York,Other Business Activity,district unemployment rates moved in opposite directions during september following august declines new yorks rate rose to 90 percent from 85 percent in august while new jerseys rate also at 90 percent in september fell from 94 percent two developments are likely to boost construction employment the port authority of new york and new jersey recently announced that it will build an additional international terminal at newark airport and that major projects are planned or already begun at la guardia and kennedy airports including the first new passenger terminal at kennedy since the 1960s in another major construction project new york city has embarked on a huge program to build or renovate 32 court facilities throughout the five boroughs over the next several years in other news a large discount chain has agreed to acquire and reopen 6 of the 11 alexander department stores in the new york metropolitan area which closed earlier this year remington products announced that it will remain in bridgeport connecticut thereby retaining 1100 jobs and probably repatriating some jobs from abroad as well on the negative side ibm will reduce production of semiconductors and mainframe computers probably resulting in layoffs at its factories in the districtthe september survey of buffalo purchasing managers showed much smaller percentages of firms reporting a rise in new orders and production following substantial improvements in these categories during august the latest survey of rochester purchasing managers also showed a sizable drop in the percentage anticipating an improvement in business conditions over the next three months
